"Sno";"Division_SeatNo";"Member_ID";"Session";"State";"Constituency";"Total_Sittings";"Sittings_Attended";"Zone";"Percent_Attendance";"Exp_status";"If_Numeric_Percent_Attendance"
427;492;"MP427";13;"Madhya Pradesh                                              ";"Tikamgarh";32;31;"Central";"96.9%";"Exp";1
428;493;"MP428";13;"Madhya Pradesh                                              ";"Satna";32;26;"Central";"81.3%";"Unexp";1
429;494;"MP429";13;"Madhya Pradesh                                              ";"Jabalpur";32;21;"Central";"65.6%";"Exp";1
430;495;"MP430";13;"Himachal Pradesh                                            ";"Hamirpur";32;27;"North";"84.4%";"Exp";1
431;496;"MP431";13;"Maharashtra                                                 ";"Jalna";32;20;"Central";"62.5%";"Exp";1
432;497;"MP432";13;"Assam                                                       ";"Nawgong";32;10;"NE";"31.3%";"Exp";0
433;498;"MP433";13;"Maharashtra                                                 ";"Chandrapur";32;24;"Central";"75.0%";"Exp";1
434;499;"MP434";13;"Chhattisgarh                                                ";"Kanker";32;22;"Central";"68.8%";"Unexp";1
435;500;"MP435";13;"Gujarat                                                     ";"Chhota Udaipur";32;18;"West";"56.3%";"Exp";1
436;501;"MP436";13;"Karnataka                                                   ";"Bijapur";32;24;"South";"75.0%";"Exp";1
437;502;"MP437";13;"Jharkhand                                                   ";"Giridih";32;29;"East";"90.6%";"Exp";1
438;503;"MP438";13;"Bihar                                                       ";"Darbhanga";32;31;"East";"96.9%";"Unexp";1
439;504;"MP439";13;"Karnataka                                                   ";"Dharwad";32;14;"South";"43.8%";"Exp";0
440;505;"MP440";13;"Maharashtra                                                 ";"Akola";32;27;"Central";"84.4%";"Exp";1
441;506;"MP441";13;"Karnataka                                                   ";"Bagalkot";32;17;"South";"53.1%";"Exp";1
442;507;"MP442";13;"Punjab                                                      ";"Amritsar";32;7;"North";"21.9%";"Exp";0
443;508;"MP443";13;"Maharashtra                                                 ";"Dindori";32;26;"Central";"81.3%";"Unexp";1
444;509;"MP444";13;"Maharashtra                                                 ";"Raver";32;26;"Central";"81.3%";"Exp";1
445;510;"MP445";13;"Karnataka                                                   ";"Davanagere";32;8;"South";"25.0%";"Unexp";0
446;511;"MP446";13;"Rajasthan                                                   ";"Jhalawar-Baran";32;22;"West";"68.8%";"Unexp";1
447;512;"MP447";13;"Andaman and Nicobar Islands                                 ";"Andaman and Nicobar Islands";32;30;"South";"93.8%";"Exp";1
448;513;"MP448";13;"Bihar                                                       ";"Purnia";32;29;"East";"90.6%";"Exp";1
449;514;"MP449";13;"Madhya Pradesh                                              ";"Sidhi";32;32;"Central";"100.0%";"Exp";0
450;515;"MP450";13;"Gujarat                                                     ";"Junagadh";32;5;"West";"15.6%";"Exp";0
451;516;"MP451";13;"Chhattisgarh                                                ";"Mahasamund";32;22;"Central";"68.8%";"Unexp";1
452;517;"MP452";13;"Madhya Pradesh                                              ";"Sagar";32;12;"Central";"37.5%";"Exp";0
453;518;"MP453";13;"Jharkhand                                                   ";"Lohardaga";32;31;"East";"96.9%";"Exp";1
454;519;"MP454";13;"Bihar                                                       ";"Paschim Champaran";32;28;"East";"87.5%";"Exp";1
455;520;"MP455";13;"Gujarat                                                     ";"Panchmahal";32;32;"West";"100.0%";"Exp";0
456;521;"MP456";13;"Jharkhand                                                   ";"Dhanbad";32;30;"East";"93.8%";"Exp";1
457;522;"MP457";13;"Chhattisgarh                                                ";"Bastar";32;12;"Central";"37.5%";"Exp";0
458;523;"MP458";13;"Jharkhand                                                   ";"Rajmahal";32;18;"East";"56.3%";"Unexp";1
459;524;"MP459";13;"Bihar                                                       ";"Nawada";32;27;"East";"84.4%";"Unexp";1
460;525;"MP460";13;"Rajasthan                                                   ";"Jalore";32;23;"West";"71.9%";"Exp";1
461;526;"MP461";13;"Gujarat                                                     ";"Navsari";32;24;"West";"75.0%";"Exp";1
462;527;"MP462";13;"Gujarat                                                     ";"Vadodara";32;19;"West";"59.4%";"Exp";1
463;528;"MP463";13;"Karnataka                                                   ";"Shimoga";32;2;"South";"6.3%";"Exp";1
464;529;"MP464";13;"Rajasthan                                                   ";"Bikaner";32;32;"West";"100.0%";"Unexp";0
465;530;"MP465";13;"Maharashtra                                                 ";"Jalgaon";32;26;"Central";"81.3%";"Exp";1
466;531;"MP466";13;"Madhya Pradesh                                              ";"Damoh";32;25;"Central";"78.1%";"Exp";1
467;532;"MP467";13;"Maharashtra                                                 ";"Dhule";32;23;"Central";"71.9%";"Exp";1
468;533;"MP468";13;"Bihar                                                       ";"Araria";32;22;"East";"68.8%";"Exp";1
469;534;"MP469";13;"Madhya Pradesh                                              ";"Khargone";32;27;"Central";"84.4%";"Unexp";1
470;535;"MP470";13;"Gujarat                                                     ";"Sabarkantha";32;32;"West";"100.0%";"Exp";0
471;536;"MP471";13;"Chhattisgarh                                                ";"Rajnandgaon";32;11;"Central";"34.4%";"Exp";0
472;537;"MP472";13;"Daman and Diu                                               ";"Daman and Diu";32;27;"West";"84.4%";"Unexp";1
473;538;"MP473";13;"Gujarat                                                     ";"Ahmedabad West";32;30;"West";"93.8%";"Exp";1
474;539;"MP474";13;"Madhya Pradesh                                              ";"Balaghat";32;16;"Central";"50.0%";"Exp";1
475;540;"MP475";13;"Karnataka                                                   ";"Chitradurga";32;10;"South";"31.3%";"Unexp";0
476;541;"MP476";13;"Chhattisgarh                                                ";"Janjgir-Champa ";32;21;"Central";"65.6%";"Exp";1
477;542;"MP477";13;"Madhya Pradesh                                              ";"Betul";32;26;"Central";"81.3%";"Unexp";1
478;543;"MP478";13;"Karnataka                                                   ";"Bellary";32;2;"South";"6.3%";"Exp";1
479;544;"MP479";13;"Gujarat                                                     ";"Mehesana";32;31;"West";"96.9%";"Exp";1
480;545;"MP480";13;"Jharkhand                                                   ";"Godda";32;30;"East";"93.8%";"Unexp";1
481;546;"MP481";13;"Dadra and Nagar Haveli                                      ";"Dadra and Nagar Haveli";32;13;"West";"40.6%";"Exp";0
482;547;"MP482";13;"Gujarat                                                     ";"Amreli";32;30;"West";"93.8%";"Exp";1
483;548;"MP483";13;"Karnataka                                                   ";"Dakshina Kannada";32;12;"South";"37.5%";"Exp";0
484;549;"MP484";13;"Chhattisgarh                                                ";"Surguja";32;21;"Central";"65.6%";"Unexp";1
485;550;"MP485";13;"Gujarat                                                     ";"Kachchh";32;30;"West";"93.8%";"Exp";1
